ANNEE;AgeScol = 0;AgeScol = 1;AgeScol = 2;AgeScol = 3;AgeScol = 4;AgeScol = 5;AgeScol = 6;AgeScol = 7;AgeScol = 8;AgeScol = 9;AgeScol = 10;AgeScol = 11;AgeScol = 12;AgeScol = 13;AgeScol = 14;1-6P;7-8P;9-11S;7-11
1979;436;999;1007;1106;1012;1119;1172;1160;1362;1397;1328;1326;1448;1434;1509;7222;2654;4391;7045
1980;485;1055;1005;1036;1096;1026;1091;1147;1146;1346;1398;1344;1335;1473;1454;6852;2742;4262;7004
1981;516;1088;1024;987;1013;1084;1029;1069;1133;1159;1340;1385;1340;1349;1481;6487;2725;4170;6895
1982;553;1065;1081;1016;963;1004;1097;1012;1071;1126;1147;1323;1391;1340;1354;6273;2470;4085;6555
1983;549;1069;1071;1072;1016;975;1012;1077;1029;1064;1134;1152;1339;1396;1363;6173;2286;4098;6384
1984;487;1093;1057;1069;1056;1006;954;1006;1074;1022;1039;1143;1147;1343;1403;6118;2182;3893;6075
1985;495;1019;1105;1012;1058;1064;995;938;994;1055;1016;1035;1134;1132;1351;6104;2051;3617;5668
1986;527;1047;991;1055;971;1029;1055;985;937;984;1043;1018;1046;1133;1147;5961;2061;3326;5387
1987;563;1129;1049;1003;1067;985;1019;1049;990;948;982;1044;1032;1061;1148;6058;2026;3241;5267
1988;623;1228;1112;1032;1026;1065;998;1023;1075;993;965;993;1040;1051;1063;6180;1958;3154;5112
1989;613;1289;1222;1093;1022;1020;1061;996;1009;1072;1003;972;989;1063;1062;6180;1975;3114;5089
1990;608;1341;1296;1230;1079;1026;1023;1058;1008;1024;1097;1021;991;1011;1087;6218;2118;3089;5207
1991;722;1362;1306;1275;1227;1076;1039;1038;1068;1000;1029;1075;1027;1002;1002;6448;2104;3031;5135
1992;632;1441;1374;1260;1251;1196;1072;1020;1026;1055;992;1026;1083;1012;1022;6620;2018;3117;5135
1993;592;1308;1413;1359;1246;1228;1183;1055;1024;1032;1039;978;1022;1089;1014;6768;2017;3125;5142
1994;644;1251;1297;1426;1347;1233;1233;1170;1063;1015;1021;1045;985;1030;1102;7061;2066;3117;5183
1995;609;1285;1239;1268;1397;1298;1220;1215;1145;1035;1022;1011;1056;966;1034;7310;2033;3056;5089
1996;567;1258;1269;1216;1261;1355;1271;1196;1193;1120;1017;1017;1008;1036;969;7396;2034;3013;5047
1997;644;1232;1254;1268;1216;1235;1358;1244;1197;1173;1110;1008;1025;1011;1029;7423;2118;3065;5183
1998;622;1378;1264;1257;1273;1222;1202;1342;1244;1198;1172;1105;1018;1029;1021;7481;2277;3068;5345
1999;597;1341;1370;1277;1267;1252;1231;1202;1349;1227;1218;1173;1096;1015;1052;7528;2391;3163;5554
2000;576;1334;1288;1308;1243;1215;1229;1199;1184;1305;1216;1197;1160;1102;1028;7375;2413;3290;5703
2001;525;1407;1301;1241;1282;1227;1182;1211;1194;1179;1302;1205;1182;1161;1114;7275;2507;3457;5964
2002;566;1277;1384;1295;1230;1270;1193;1169;1212;1180;1179;1287;1211;1195;1167;7254;2466;3573;6039
2003;560;1257;1258;1379;1296;1201;1254;1185;1185;1203;1177;1173;1295;1185;1194;7324;2350;3674;6024
2004;592;1299;1225;1209;1311;1280;1165;1231;1178;1157;1182;1170;1161;1300;1193;7322;2352;3654;6006
2005;653;1318;1260;1203;1192;1271;1252;1164;1192;1159;1133;1170;1151;1151;1294;7230;2303;3596;5899
2006;668;1387;1276;1214;1194;1175;1267;1226;1148;1176;1138;1143;1161;1134;1159;7186;2281;3454;5735
